From 
- Raw file: https://surfer.nmr.mgh.harvard.edu/fswiki/FsTutorial/AnatomicalROI/FreeSurferColorLUT
- interpretation: https://github.com/brainlife/app-networkneuro/blob/e25e24c0c88b39531a16b63804aee8ee7848c6b7/README.md
idx freesufer_label_id label_name R G B A
0 1001    ctx-lh-bankssts                     25  100 40  0
1 1002    ctx-lh-caudalanteriorcingulate      125 100 160 0
2 1003    ctx-lh-caudalmiddlefrontal          100 25  0   0
3 1005    ctx-lh-cuneus                       220 20  100 0
4 1006    ctx-lh-entorhinal                   220 20  10  0
5 1007    ctx-lh-fusiform                     180 220 140 0
6 1008    ctx-lh-inferiorparietal             220 60  220 0
7 1009    ctx-lh-inferiortemporal             180 40  120 0
8 1010    ctx-lh-isthmuscingulate             140 20  140 0
9 1011    ctx-lh-lateraloccipital             20  30  140 0
10 1012    ctx-lh-lateralorbitofrontal         35  75  50  0
11 1013    ctx-lh-lingual                      225 140 140 0
12 1014    ctx-lh-medialorbitofrontal          200 35  75  0
13 1015    ctx-lh-middletemporal               160 100 50  0
14 1016    ctx-lh-parahippocampal              20  220 60  0
15 1017    ctx-lh-paracentral                  60  220 60  0
16 1018    ctx-lh-parsopercularis              220 180 140 0
17 1019    ctx-lh-parsorbitalis                20  100 50  0
18 1020    ctx-lh-parstriangularis             220 60  20  0
19 1021    ctx-lh-pericalcarine                120 100 60  0
20 1022    ctx-lh-postcentral                  220 20  20  0
21 1023    ctx-lh-posteriorcingulate           220 180 220 0
22 1024    ctx-lh-precentral                   60  20  220 0
23 1025    ctx-lh-precuneus                    160 140 180 0
24 1026    ctx-lh-rostralanteriorcingulate     80  20  140 0
25 1027    ctx-lh-rostralmiddlefrontal         75  50  125 0
26 1028    ctx-lh-superiorfrontal              20  220 160 0
27 1029    ctx-lh-superiorparietal             20  180 140 0
28 1030    ctx-lh-superiortemporal             140 220 220 0
29 1031    ctx-lh-supramarginal                80  160 20  0
30 1032    ctx-lh-frontalpole                  100 0   100 0
31 1033    ctx-lh-temporalpole                 70  70  70  0
32 1034    ctx-lh-transversetemporal           150 150 200 0
33 1035    ctx-lh-insula                       255 192 32  0
34 2001    ctx-rh-bankssts                     25  100 40  0
35 2002    ctx-rh-caudalanteriorcingulate      125 100 160 0
36 2003    ctx-rh-caudalmiddlefrontal          100 25  0   0
37 2005    ctx-rh-cuneus                       220 20  100 0
38 2006    ctx-rh-entorhinal                   220 20  10  0
39 2007    ctx-rh-fusiform                     180 220 140 0
40 2008    ctx-rh-inferiorparietal             220 60  220 0
41 2009    ctx-rh-inferiortemporal             180 40  120 0
42 2010    ctx-rh-isthmuscingulate             140 20  140 0
43 2011    ctx-rh-lateraloccipital             20  30  140 0
44 2012    ctx-rh-lateralorbitofrontal         35  75  50  0
45 2013    ctx-rh-lingual                      225 140 140 0
46 2014    ctx-rh-medialorbitofrontal          200 35  75  0
47 2015    ctx-rh-middletemporal               160 100 50  0
48 2016    ctx-rh-parahippocampal              20  220 60  0
49 2017    ctx-rh-paracentral                  60  220 60  0
50 2018    ctx-rh-parsopercularis              220 180 140 0
51 2019    ctx-rh-parsorbitalis                20  100 50  0
52 2020    ctx-rh-parstriangularis             220 60  20  0
53 2021    ctx-rh-pericalcarine                120 100 60  0
54 2022    ctx-rh-postcentral                  220 20  20  0
55 2023    ctx-rh-posteriorcingulate           220 180 220 0
56 2024    ctx-rh-precentral                   60  20  220 0
57 2025    ctx-rh-precuneus                    160 140 180 0
58 2026    ctx-rh-rostralanteriorcingulate     80  20  140 0
59 2027    ctx-rh-rostralmiddlefrontal         75  50  125 0
60 2028    ctx-rh-superiorfrontal              20  220 160 0
61 2029    ctx-rh-superiorparietal             20  180 140 0
62 2030    ctx-rh-superiortemporal             140 220 220 0
63 2031    ctx-rh-supramarginal                80  160 20  0
64 2032    ctx-rh-frontalpole                  100 0   100 0
65 2033    ctx-rh-temporalpole                 70  70  70  0
66 2034    ctx-rh-transversetemporal           150 150 200 0
67 2035    ctx-rh-insula                       255 192 32  0
